 * Debug mode: off
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on http://127.0.0.1:5000
Press CTRL+C to quit
127.0.0.1 - - [18/Apr/2023 23:57:58] "GET /assets/index.esm-a8d27367.js HTTP/1.0" 304 -
127.0.0.1 - - [18/Apr/2023 23:57:59] "GET /user/login_status HTTP/1.0" 200 -
127.0.0.1 - - [18/Apr/2023 23:57:59] "GET /assets/location-0bf683b7.svg HTTP/1.0" 200 -
127.0.0.1 - - [18/Apr/2023 23:57:59] "POST /product/detail HTTP/1.0" 200 -
127.0.0.1 - - [18/Apr/2023 23:57:59] "GET /assets/group-14ee0909.svg HTTP/1.0" 200 -
127.0.0.1 - - [18/Apr/2023 23:57:59] "POST /product/charge_detail HTTP/1.0" 200 -
127.0.0.1 - - [18/Apr/2023 23:57:59] "GET /assets/time_icon-70797959.svg HTTP/1.0" 200 -
127.0.0.1 - - [18/Apr/2023 23:57:59] "GET /src/assets/USD.svg HTTP/1.0" 404 -
127.0.0.1 - - [18/Apr/2023 23:57:59] "POST /product/trips HTTP/1.0" 200 -
127.0.0.1 - - [18/Apr/2023 23:57:59] "POST /product/get_comment HTTP/1.0" 200 -
127.0.0.1 - - [18/Apr/2023 23:57:59] "GET /user/get_language HTTP/1.0" 401 -
127.0.0.1 - - [18/Apr/2023 23:58:00] "GET /assets/navigationBar-883b4026.css HTTP/1.0" 200 -
127.0.0.1 - - [18/Apr/2023 23:58:00] "POST /product/get_reviews HTTP/1.0" 200 -
127.0.0.1 - - [18/Apr/2023 23:58:00] "POST /product/get_product_grade HTTP/1.0" 200 -
127.0.0.1 - - [18/Apr/2023 23:58:00] "POST /product/get_reviews HTTP/1.0" 200 -
127.0.0.1 - - [18/Apr/2023 23:58:00] "GET /assets/love4-1cbf6810.svg HTTP/1.0" 200 -
127.0.0.1 - - [18/Apr/2023 23:58:00] "GET /assets/TDtag-3ee5cbfb.svg HTTP/1.0" 200 -
127.0.0.1 - - [18/Apr/2023 23:58:00] "GET /assets/ArrowBack-303a8345.js HTTP/1.0" 200 -
